iter	Passed	Remaining
0	1	1835
1	3	1708
2	4	1644
3	6	1625
4	7	1575
5	9	1547
6	11	1567
7	12	1565
8	14	1547
9	15	1537
10	17	1542
11	18	1534
12	20	1529
13	21	1515
14	23	1520
15	24	1519
16	26	1532
17	28	1530
18	29	1531
19	31	1521
20	32	1520
21	34	1519
22	35	1510
23	36	1503
24	38	1496
25	39	1494
26	41	1488
27	42	1484
28	44	1482
29	46	1487
30	47	1484
31	48	1480
32	50	1475
33	52	1478
34	53	1474
35	54	1469
36	56	1465
37	57	1466
38	59	1462
39	60	1458
40	62	1454
41	63	1454
42	65	1452
43	66	1447
44	68	1443
45	69	1444
46	71	1441
47	72	1439
48	74	1440
49	75	1438
50	77	1435
51	78	1433
52	80	1431
53	81	1428
54	82	1424
55	84	1421
56	85	1418
57	87	1418
58	88	1415
59	90	1413
60	91	1412
61	93	1415
62	95	1415
63	96	1412
64	98	1411
65	99	1411
66	101	1407
67	102	1407
68	104	1406
69	105	1406
70	107	1405
71	108	1402
72	110	1401
73	111	1399
74	113	1397
75	114	1396
76	116	1395
77	117	1392
78	119	1389
79	120	1385
80	122	1385
81	123	1384
82	125	1383
83	126	1382
84	128	1381
85	130	1381
86	131	1382
87	133	1381
88	134	1381
89	136	1381
90	138	1381
91	139	1381
92	141	1380
93	143	1378
94	144	1377
95	146	1376
96	147	1374
97	149	1372
98	150	1372
99	152	1370
100	153	1368
101	155	1365
102	156	1365
103	158	1363
104	159	1361
105	161	1359
106	162	1359
107	164	1358
108	165	1355
109	167	1353
110	168	1351
111	170	1349
112	171	1346
113	173	1344
114	174	1343
115	175	1341
116	177	1338
117	178	1336
118	180	1334
119	181	1332
120	183	1329
121	184	1327
122	186	1326
123	187	1324
124	188	1322
125	190	1320
126	191	1319
127	193	1318
128	194	1314
129	196	1312
130	197	1310
131	198	1308
132	200	1306
133	201	1304
134	203	1303
135	204	1302
136	206	1300
137	207	1299
138	209	1297
139	210	1295
140	212	1293
141	213	1291
142	215	1289
143	216	1287
144	218	1286
145	219	1284
146	221	1282
147	222	1281
148	224	1279
149	225	1277
150	227	1276
151	228	1274
152	230	1273
153	231	1272
154	233	1271
155	234	1269
156	236	1267
157	237	1265
158	238	1263
159	240	1262
160	241	1260
161	243	1258
162	245	1258
163	246	1258
164	248	1255
165	249	1254
166	251	1252
167	252	1250
168	253	1247
169	255	1245
170	256	1244
171	262	1261
172	263	1259
173	264	1257
174	266	1256
175	267	1254
176	269	1252
177	270	1250
178	272	1248
179	273	1247
180	275	1245
181	276	1243
182	278	1244
183	280	1242
184	281	1240
185	282	1238
186	284	1236
187	285	1234
188	287	1233
189	288	1231
190	290	1229
191	291	1228
192	293	1225
193	294	1223
194	295	1221
195	297	1221
196	299	1219
197	300	1217
198	302	1216
199	303	1215
200	305	1213
201	306	1211
202	308	1210
203	309	1208
204	311	1206
205	312	1204
206	313	1202
207	315	1200
208	316	1198
209	318	1197
210	319	1195
211	321	1194
212	322	1192
213	324	1191
214	325	1189
215	327	1187
216	328	1186
217	330	1186
218	332	1185
219	333	1183
220	335	1182
221	336	1180
222	338	1179
223	339	1177
224	341	1175
225	342	1174
226	344	1173
227	346	1172
228	347	1170
229	349	1168
230	350	1167
231	351	1165
232	353	1163
233	355	1162
234	356	1160
235	358	1159
236	359	1157
237	361	1155
238	362	1154
239	363	1152
240	365	1150
241	366	1149
242	368	1147
243	370	1146
244	371	1144
245	372	1143
246	374	1141
247	375	1139
248	377	1137
249	378	1135
250	380	1134
251	381	1132
252	382	1130
253	384	1129
254	386	1127
255	387	1126
256	389	1125
257	390	1124
258	392	1122
259	393	1120
260	395	1118
261	396	1117
262	398	1115
263	399	1114
264	401	1113
265	403	1112
266	404	1110
267	405	1108
268	407	1106
269	408	1104
270	410	1102
271	411	1101
272	413	1099
273	414	1098
274	416	1097
275	417	1095
276	418	1093
277	420	1091
278	421	1089
279	423	1089
280	425	1088
281	426	1086
282	428	1084
283	429	1083
284	431	1081
285	432	1079
286	433	1078
287	435	1076
288	436	1074
289	438	1073
290	439	1071
291	441	1070
292	442	1068
293	444	1066
294	445	1065
295	447	1063
296	448	1061
297	450	1060
298	451	1058
299	453	1057
300	454	1055
301	456	1054
302	457	1052
303	459	1050
304	460	1049
305	461	1047
306	463	1045
307	464	1044
308	466	1043
309	467	1041
310	469	1039
311	470	1038
312	472	1036
313	473	1035
314	475	1033
315	476	1032
316	478	1031
317	480	1030
318	481	1028
319	483	1026
320	484	1025
321	486	1023
322	487	1021
323	488	1020
324	490	1019
325	492	1017
326	493	1015
327	495	1014
328	496	1012
329	498	1011
330	499	1009
331	500	1007
332	502	1006
333	503	1004
334	505	1002
335	506	1001
336	508	999
337	509	998
338	511	996
339	512	995
340	514	993
341	515	991
342	516	990
343	518	988
344	520	987
345	521	986
346	523	985
347	524	983
348	526	981
349	528	980
350	529	979
351	531	977
352	532	975
353	533	974
354	535	972
355	536	971
356	538	969
357	539	968
358	541	966
359	542	964
360	544	963
361	545	961
362	547	959
363	548	958
364	550	956
365	551	955
366	552	953
367	554	952
368	555	950
369	557	948
370	558	947
371	560	945
372	561	943
373	562	942
374	564	940
375	565	939
376	567	937
377	568	935
378	570	934
379	571	933
380	573	931
381	574	929
382	576	928
383	577	926
384	579	925
385	580	923
386	582	922
387	583	920
388	585	919
389	586	917
390	588	915
391	589	914
392	591	913
393	592	911
394	594	910
395	595	908
396	597	906
397	598	905
398	600	903
399	601	902
400	602	900
401	604	899
402	605	897
403	607	896
404	608	894
405	610	893
406	611	891
407	613	890
408	614	888
409	616	887
410	618	885
411	619	884
412	621	882
413	622	881
414	623	879
415	625	877
416	626	876
417	628	874
418	629	873
419	631	871
420	632	870
421	634	869
422	636	868
423	637	866
424	639	864
425	640	863
426	642	861
427	643	860
428	644	858
429	646	856
430	647	855
431	649	853
432	650	852
433	652	851
434	654	849
435	655	848
436	657	846
437	658	845
438	660	843
439	661	841
440	662	840
441	664	838
442	666	837
443	667	835
444	668	834
445	670	832
446	672	831
447	673	829
448	675	828
449	676	826
450	678	825
451	679	823
452	681	822
453	682	821
454	684	819
455	685	818
456	687	816
457	688	814
458	690	813
459	691	812
460	693	810
461	695	809
462	696	807
463	698	806
464	700	805
465	701	804
466	703	802
467	705	801
468	706	800
469	708	798
470	709	797
471	711	795
472	713	794
473	714	793
474	716	791
475	720	793
476	721	791
477	723	790
478	725	788
479	726	787
480	728	785
481	730	784
482	731	783
483	733	781
484	735	780
485	737	779
486	738	778
487	740	776
488	741	775
489	743	773
490	744	772
491	746	771
492	748	769
493	749	768
494	751	766
495	753	765
496	754	763
497	756	762
498	757	760
499	759	759
500	760	757
501	762	756
502	763	754
503	765	753
504	767	752
505	768	750
506	770	749
507	772	747
508	773	746
509	775	744
510	776	743
511	778	742
512	780	740
513	781	739
514	783	737
515	784	735
516	786	734
517	788	733
518	789	731
519	791	730
520	792	728
521	794	727
522	795	725
523	797	724
524	798	722
525	800	721
526	801	719
527	803	717
528	804	716
529	805	714
530	807	713
531	808	711
532	810	709
533	811	708
534	813	706
535	814	705
536	815	703
537	817	702
538	819	700
539	820	698
540	822	697
541	823	696
542	825	694
543	827	693
544	828	691
545	830	690
546	831	688
547	833	687
548	834	685
549	836	684
550	837	682
551	838	680
552	840	679
553	842	677
554	843	676
555	844	674
556	846	673
557	847	671
558	849	670
559	850	668
560	852	666
561	853	665
562	855	664
563	856	662
564	858	660
565	859	659
566	861	657
567	862	656
568	864	654
569	865	653
570	867	651
571	868	649
572	869	648
573	871	646
574	872	645
575	874	643
576	876	642
577	877	640
578	878	639
579	880	637
580	881	635
581	883	634
582	884	632
583	886	631
584	888	630
585	889	628
586	891	627
587	893	625
588	894	624
589	895	622
590	897	620
591	898	619
592	900	617
593	901	616
594	903	614
595	905	613
596	906	611
597	907	610
598	909	608
599	910	607
