iter	Passed	Remaining
0	2	739
1	4	658
2	7	705
3	9	679
4	11	657
5	12	635
6	14	608
7	16	590
8	18	584
9	19	567
10	21	562
11	23	559
12	24	550
13	27	555
14	29	555
15	30	548
16	32	548
17	34	543
18	36	541
19	38	540
20	40	539
21	42	535
22	44	536
23	46	537
24	48	534
25	50	530
26	52	526
27	53	522
28	55	521
29	58	523
30	60	522
31	62	520
32	64	520
33	66	518
34	68	516
35	70	516
36	72	515
37	74	513
38	76	510
39	78	509
40	80	507
41	82	505
42	84	504
43	86	502
44	88	501
45	90	499
46	92	497
47	94	495
48	96	492
49	98	490
50	99	487
51	102	486
52	104	484
53	105	482
54	107	479
55	109	478
56	111	475
57	113	475
58	115	473
59	117	471
60	120	470
61	121	468
62	123	465
63	125	464
64	127	462
65	130	461
66	132	459
67	133	456
68	135	454
69	137	452
70	139	449
71	140	446
72	142	444
73	144	441
74	146	440
75	148	437
76	150	435
77	152	434
78	154	432
79	157	431
80	158	429
81	160	427
82	162	425
83	164	424
84	166	422
85	168	419
86	170	417
87	172	415
88	174	413
89	176	411
90	177	408
91	179	406
92	181	404
93	183	401
94	184	398
95	186	396
96	188	395
97	190	393
98	192	390
99	194	388
100	196	386
101	198	384
102	200	383
103	202	381
104	204	378
105	206	377
106	208	375
107	209	373
108	211	371
109	213	368
110	215	366
111	217	364
112	219	362
113	221	361
114	223	359
115	225	357
116	226	354
117	228	353
118	230	351
119	232	348
120	235	347
121	237	345
122	239	344
123	241	342
124	243	340
125	245	339
126	247	337
127	249	335
128	252	334
129	254	332
130	255	330
131	258	328
132	259	326
133	261	324
134	263	322
135	265	320
136	268	318
137	270	317
138	272	315
139	274	313
140	276	311
141	277	309
142	279	307
143	281	304
144	283	302
145	285	300
146	286	298
147	288	296
148	290	294
149	292	292
150	294	290
151	296	288
152	298	286
153	300	284
154	302	282
155	304	280
156	306	278
157	308	277
158	310	275
159	312	273
160	314	271
161	315	269
162	317	266
163	319	264
164	321	262
165	322	260
166	324	258
167	326	256
168	328	254
169	330	252
170	331	250
171	333	248
172	335	246
173	337	244
174	339	242
175	341	240
176	343	238
177	345	236
178	347	234
179	349	232
180	351	231
181	353	229
182	355	227
183	357	225
184	359	223
185	361	221
186	362	219
187	364	217
188	366	215
189	369	213
190	371	211
191	373	210
192	375	208
193	377	206
194	379	204
195	381	202
196	383	200
197	385	198
198	387	196
199	389	194
200	391	192
201	392	190
202	394	188
203	396	186
204	398	184
205	401	183
206	403	181
207	405	179
208	407	177
209	408	175
210	410	173
211	412	171
212	414	169
213	416	167
214	418	165
215	420	163
216	422	161
217	425	159
218	427	157
219	429	156
220	430	154
221	432	151
222	434	149
223	436	148
224	438	146
225	440	144
226	442	142
227	444	140
228	445	138
229	447	136
230	449	134
231	451	132
232	453	130
233	455	128
234	457	126
235	459	124
236	461	122
237	463	120
238	465	118
239	467	116
240	469	115
241	471	113
242	473	111
243	475	109
244	477	107
245	479	105
246	481	103
247	483	101
248	484	99
249	486	97
250	488	95
251	490	93
252	492	91
253	494	89
254	496	87
255	498	85
256	500	83
257	502	81
258	503	79
259	506	77
260	508	75
261	509	73
262	511	72
263	513	70
264	515	68
265	517	66
266	519	64
267	521	62
268	524	60
269	526	58
270	527	56
271	529	54
272	531	52
273	533	50
274	535	48
275	536	46
276	538	44
277	540	42
278	542	40
279	544	38
280	546	36
281	548	35
282	550	33
283	552	31
284	554	29
285	556	27
286	558	25
287	560	23
288	561	21
289	563	19
290	566	17
291	568	15
292	570	13
293	571	11
294	574	9
295	576	7
296	577	5
297	580	3
298	582	1
299	583	0
